------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
  5.	K         39.10200000
------------------------------


----------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N       K
   43. TGL                   S      0          897.419981    300.00   4000.00      57     100       7       0       0
----------------------------------------------------------------------------------------------------------------------

---------------------------------------------------------------------------------------
                                SOLID MECHANISM                                      
---------------------------------------------------------------------------------------

       Number of materials:       1
       Number of solid species:   32

       Materials: 
       BIOMASS

       ------------------------------------------------------------------------------------------------------------------
       BIOMASS                 global-index    solid-index     local-index     
       ------------------------------------------------------------------------------------------------------------------
       CELL                    36              1               1               
       GMSW                    37              2               2               
       XYHW                    38              3               3               
       XYGR                    39              4               4               
       LIGC                    40              5               5               
       LIGH                    41              6               6               
       LIGO                    42              7               7               
       TGL                     43              8               8               
       TANN                    44              9               9               
       MOIST                   45              10              10              
       ASH                     46              11              11              
       CELLA                   47              12              12              
       HCE1                    48              13              13              
       HCE2                    49              14              14              
       LIGCC                   50              15              15              
       LIGOH                   51              16              16              
       LIG                     52              17              17              
       ITANN                   53              18              18              
       CHAR                    54              19              19              
       COH2S                   55              20              20              
       CO2S                    56              21              21              
       COS                     57              22              22              
       CH3OHS                  58              23              23              
       CH4S                    59              24              24              
       C2H4S                   60              25              25              
       C6H5OHS                 61              26              26              
       CH2OS                   62              27              27              
       H2S                     63              28              28              
       C2H6S                   64              29              29              
       LVGS                    65              30              30              
       CHARO                   66              31              31              
       COSTIFFS                67              32              32              

--------------------------------------------------------------------------------------------------------
                                  CHEMICAL REACTIONS                                                  

                         Units: [kmol, m3, s] and [cal/mol]                                           
--------------------------------------------------------------------------------------------------------


      1. CELL  => CELLA 
         k:       7.000000e+13	    0.00      45000.00


      2. CELLA  => 0.026CH2OHCH2CHO + 0.287FURFURAL + 0.3251CH2OHCHO + 0.02CHOCHO + 0.0431CH3CHO + 0.08C6H6O3 + 0.14CH3OH + 0.2637CH2O + 0.02HCOOH + 0.2FURAN + 0.1323CH3COCH3 + 1.8547H2O + 0.08CO + 0.29CO2 + 0.0023H2 + 0.03CH4 + 1.1CHAR + 0.06COS + 0.05CH2OS + 0.024H2S 
         k:       1.500000e+06	    0.00      20000.00


      3. CELLA  => 0.2C6H10O5 + 0.6LVG + 0.2LVGS 
         k:       5.000000e+04	    0.00      14500.00


      4. CELL  => 4.45H2O + 0.125H2 + 5.45CHAR + 0.12COH2S + 0.25COS + 0.18CH2OS + 0.125H2S 
         k:       8.000000e+07	    0.00      31000.00


      5. GMSW  => 0.7HCE1 + 0.3HCE2 
         k:       1.000000e+10	    0.00      31000.00


      6. XYHW  => 0.35HCE1 + 0.65HCE2 
         k:       1.250000e+11	    0.00      31400.00


      7. XYGR  => 0.12HCE1 + 0.88HCE2 
         k:       1.250000e+11	    0.00      30000.00


      8. HCE1  => 0.06CH2OHCH2CHO + 0.16FURFURAL + 0.1CHOCHO + 0.13C6H6O3 + 0.25C6H10O5 + 0.25C5H8O4 + 0.54H2O + 0.09CO2 + 0.02H2 + 0.1CH4 + 0.1CHAR 
         k:       1.600000e+01	    1.00      12900.00


      9. HCE1  => 0.4CH2O + 0.05HCOOH + 0.4H2O + 0.49CO + 0.39CO2 + 0.1H2 + 0.3CH4 + 0.1C2H4 + 0.975CHAR + 0.37COH2S + 0.51CO2S + 0.01COS + 0.325CH4S + 0.075C2H4S + 0.43CH2OS + 0.05H2S + 0.2C2H6S 
         k:       3.000000e-03	    1.00       3600.00


     10. HCE2  => 0.145FURFURAL + 0.315CH3CO2H + 0.0423CH2OHCHO + 0.0178HCOOH + 0.0661C2H5OH + 0.1665H2O + 0.0035CO + 0.2898CO2 + 0H2 + 0CH4 + 0.7662CHAR + 0.7792COH2S + 0.45CO2S + 0.2312CH3OHS + 0.1362CH4S + 0.0158C2H4S + 0.2337CH2OS + 0.1H2S + 0.2445C2H6S 
         k:       7.000000e+09	    0.00      30500.00


     11. LIGH  => 0.2CH2OHCHO + 0.5C2H5CHO + 0.1CO + 0.4C2H4 + 0.1C2H6 + LIGOH 
         k:       6.700000e+12	    0.00      37500.00


     12. LIGO  => CO2 + LIGOH 
         k:       3.300000e+08	    0.00      25500.00


     13. LIGC  => 0.1C6H5OCH3 + 0.22CH2O + 0.1VANILLIN + H2O + 0.21CO + 0.1CO2 + 0.27C2H4 + 0.35LIGCC + 5.85CHAR + 0.4COH2S + 0.36CH4S + 0.17CH2OS + 0.1H2S + 0.2C2H6S 
         k:       1.000000e+11	    0.00      37200.00


     14. LIGCC  => 0.15C6H5OCH3 + 0.35CH2OHCHO + 0.25VANILLIN + 0.15CRESOL + 0.7H2O + 1.15CO + 0.7H2 + 0.45CH4 + 0.3C2H4 + 0.4C2H6 + 6.8CHAR + 0.4COS 
         k:       1.000000e+04	    0.00      24800.00


     15. LIGOH  => 0.025C24H28O4 + 0.1C2H3CHO + 0.6CH3OH + 0.05HCOOH + H2O + 0.65CO + 0.05CO2 + 0.1CH4 + 0.9LIG + 4.25CHAR + 0.4COH2S + 0.6COS + 0.3CH3OHS + 0.25CH4S + 0.1C2H4S + 0.45CH2OS + 0.15C2H6S 
         k:       1.500000e+08	    0.00      32000.00


     16. LIG  => 0.1C6H5OCH3 + 0.3CH3CHO + VANILLIN + 0.6CO + 0.5C2H4 + 0.1CHAR 
         k:       4.000000e+00	    1.00      12000.00


     17. LIG  => 0.4CH2O + 0.6H2O + 0.3CO + 0.1CO2 + 0.2CH4 + 6.1CHAR + 0.65COH2S + 0.2COS + 0.4CH3OHS + 0.4CH4S + 0.5C2H4S + 1.25CH2OS + 0.1H2S 
         k:       8.300000e-02	    1.00       8000.00


     18. LIG  => 0.4CH3OH + 0.4CH2O + 0.6H2O + 2.6CO + 0.6CH4 + 0.75C2H4 + 0.5C2H6 + 4.5CHAR 
         k:       1.500000e+09	    0.00      31500.00


     19. TGL  => C2H3CHO + 0.5U2ME12 + 2.5MLINO 
         k:       7.000000e+12	    0.00      45700.00


     20. TANN  => 0.85C6H5OH + H2O + ITANN + COS + 0.15C6H5OHS 
         k:       2.000000e+01	    0.00      10000.00


     21. ITANN  => H2O + 2CO + 5CHAR + 0.45COH2S + 0.55CH2OS 
         k:       1.000000e+03	    0.00      25000.00


     22. CO2S  => CO2 
         k:       1.000000e+06	    0.00      24500.00


     23. COS  => CO 
         k:       5.000000e+12	    0.00      52500.00


     24. CH3OHS  => CH3OH 
         k:       2.000000e+12	    0.00      50000.00


