    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

   19. CH3O2                    2.698376e+05     3.565088e+05     1.000000e+03     3.624971e+00     3.593979e-03     1.132690e-05    -9.846398e-09     2.799439e-12     9.963822e+00     4.803909e+00     9.958446e-03    -1.926505e-06     2.282468e-10    -1.146007e-14     1.452814e+00
   20. CH3OH                    2.406329e+05     3.177823e+05     1.000000e+03     5.658511e+00    -1.629834e-02     3.459691e-05    -2.527910e-08     7.010689e-12    -8.973305e-01     3.527268e+00     1.031788e-02    -1.814465e-06     1.924827e-10    -8.554566e-15     5.167587e+00
   21. CH3O                     2.342564e+05     3.087260e+05     1.000000e+03     3.711805e+00    -2.804633e-03     1.882755e-05    -1.576907e-08     4.664711e-12     6.572409e+00     4.757792e+00     7.441425e-03    -1.348526e-06     1.460302e-10    -6.588427e-15    -1.966800e+00
   22. CH2OH                    2.441447e+05     3.188862e+05     1.000000e+03     4.478323e+00    -1.350697e-03     1.392419e-05    -1.216225e-08     3.697669e-12     3.309120e+00     5.093120e+00     5.947585e-03    -1.032483e-06     1.076689e-10    -4.703126e-15    -1.846906e+00
   23. CH2O                     2.187450e+05     2.753817e+05     1.000000e+03     4.793723e+00    -9.908333e-03     1.866100e-05    -1.264284e-08     3.294316e-12     6.027981e-01     3.169527e+00     6.193206e-03    -1.125282e-06     1.219919e-10    -5.503736e-15     6.042079e+00
   24. HCO                      2.242823e+05     2.733900e+05     1.000000e+03     3.970747e+00    -1.491216e-03     4.770209e-06    -2.942401e-09     6.691128e-13     4.446604e+00     3.857811e+00     2.641139e-03    -3.720886e-07     4.110441e-11    -2.222397e-15     3.924512e+00
   25. C2H6                     2.291934e+05     3.316047e+05     1.000000e+03     4.291426e+00    -5.501549e-03     2.997192e-05    -2.361555e-08     6.717146e-12     2.666790e+00     4.046664e+00     1.535388e-02    -2.735197e-06     2.926088e-10    -1.307919e-14    -9.686983e-01
   26. C2H5                     2.429568e+05     3.362769e+05     1.000000e+03     4.241859e+00    -3.569052e-03     2.413336e-05    -1.951337e-08     5.645113e-12     4.447038e+00     4.321956e+00     1.239305e-02    -2.198405e-06     2.345066e-10    -1.046088e-14     1.711038e-01
   27. C2H4                     2.192996e+05     3.003154e+05     1.000000e+03     3.959201e+00    -7.570514e-03     2.854950e-05    -2.305295e-08     6.747105e-12     4.097302e+00     3.991827e+00     1.048339e-02    -1.858607e-06     1.982095e-10    -8.840760e-15    -2.690818e-01
   28. C2H3                     2.336404e+05     3.055972e+05     1.000000e+03     3.363776e+00     2.657657e-04     1.398104e-05    -1.243290e-08     3.789754e-12     7.915101e+00     4.150268e+00     7.540213e-03    -1.314989e-06     1.386580e-10    -6.135188e-15     1.728122e+00
   29. C2H2                     2.008931e+05     2.689067e+05     1.000000e+03     8.086797e-01     2.336158e-02    -1.775861e-05     9.338432e-09    -2.125188e-12     1.393968e+01     4.658785e+00     4.883967e-03    -8.041444e-07     8.232485e-11    -3.465149e-15    -3.998382e+00
   30. CH3CO                    2.674219e+05     3.551487e+05     1.000000e+03     4.035870e+00     8.772949e-04     1.535501e-05    -1.308252e-08     3.824217e-12     7.861768e+00     5.313716e+00     9.173779e-03    -1.661019e-06     1.798249e-10    -8.113092e-15    -1.675756e+00
   31. CH2CHO                   2.641748e+05     3.576214e+05     1.000000e+03     2.795026e+00     1.010995e-02     8.087532e-06    -1.034344e-08     3.485903e-12     1.236467e+01     6.539283e+00     7.802386e-03    -1.382068e-06     1.473663e-10    -6.573857e-15    -8.720914e+00
   32. CH2CO                    2.514142e+05     3.338400e+05     1.000000e+03     2.132411e+00     1.813195e-02    -8.704666e-06     3.117787e-09    -5.043121e-13     1.338080e+01     5.758714e+00     6.351241e-03    -1.129777e-06     1.207738e-10    -5.396388e-15    -4.964904e+00
   33. HCCO                     2.463819e+05     3.199527e+05     1.000000e+03     1.876080e+00     2.212054e-02    -1.794347e-05     1.018008e-08    -2.532027e-12     1.369683e+01     5.914793e+00     3.714087e-03    -6.506850e-07     6.882445e-11    -3.036919e-15    -5.505673e+00
   34. C3H4-P                   2.482659e+05     3.537545e+05     1.000000e+03     2.680387e+00     1.579965e-02     1.253530e-06    -4.552541e-09     1.653857e-12     9.876935e+00     6.025240e+00     1.133654e-02    -2.011170e-06     2.145869e-10    -9.574909e-15    -8.604378e+00
   35. C3H4-A                   2.434002e+05     3.491601e+05     1.000070e+03     2.613044e+00     1.212258e-02     9.269940e-06    -1.150838e-08     3.833770e-12     1.022614e+01     6.316872e+00     1.113373e-02    -1.981469e-06     2.118808e-10    -9.468885e-15    -1.099577e+01
   36. C3H3                     2.566242e+05     3.589261e+05     1.000000e+03     1.351109e+00     3.274113e-02    -2.369137e-05     1.254367e-08    -2.963528e-12     1.520586e+01     7.142217e+00     7.619022e-03    -1.337300e-06     1.416383e-10    -6.286886e-15    -1.258487e+01
   37. C3H2                     2.545202e+05     3.413219e+05     1.000000e+03     2.434173e+00     1.730131e-02    -5.914702e-06     3.425213e-10     4.065658e-13     1.210122e+01     6.673248e+00     5.577288e-03    -9.959008e-07     1.067631e-10    -4.780407e-15    -9.728944e+00
   38. CH3COCH2                 3.074800e+05     4.381304e+05     1.000000e+03     4.701872e+00     5.516538e-03     2.137529e-05    -1.982269e-08     6.017134e-12     7.129326e+00     7.544107e+00     1.434432e-02    -2.541905e-06     2.710668e-10    -1.209183e-14    -1.147926e+01
   39. CH3CO2H                  2.834393e+05     4.048343e+05     1.000000e+03     2.789502e+00     9.999417e-03     1.712861e-05    -1.696771e-08     5.155555e-12     1.410531e+01     7.670846e+00     1.351526e-02    -2.629372e-06     2.977282e-10    -1.382951e-14    -1.546773e+01
   40. CH2COOH                  2.785886e+05     3.934744e+05     1.000000e+03     1.259837e-01     3.468735e-02    -1.724491e-05     6.292251e-09    -1.106423e-12     2.382557e+01     9.302966e+00     6.981556e-03    -8.590465e-07     7.249296e-11    -2.863051e-15    -2.313065e+01
   41. CH3CO2H(L)               2.834393e+05     4.048343e+05     1.000000e+03     2.789502e+00     9.999417e-03     1.712861e-05    -1.696771e-08     5.155555e-12     1.410531e+01     7.670846e+00     1.351526e-02    -2.629372e-06     2.977282e-10    -1.382951e-14    -1.546773e+01

 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


