    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

   40. CH2COOH                 -2.484264e+08    -1.777661e+08     1.000000e+03     1.259837e-01     1.734367e-02    -1.149661e-05     4.719188e-09    -8.851387e-13    -3.118745e+04     9.302966e+00     3.490778e-03    -5.726977e-07     5.436972e-11    -2.290441e-15    -3.365348e+04
   41. CH3CO2H(L)              -4.322561e+08    -3.564269e+08     1.000000e+03     2.789502e+00     4.999709e-03     1.141907e-05    -1.272578e-08     4.124444e-12    -5.347525e+04     7.670846e+00     6.757630e-03    -1.752914e-06     2.232961e-10    -1.106361e-14    -5.575610e+04

 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                             ENTROPY COEFFICIENTS                                                                     

             S/R = A*lnT + B*T + C*T^2 + D*T^3 + E*T^4 + F  [-]                                                         

    Species                 S(298K)[J/kmol/K] S(1000K)[J/kmol/K]     LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. AR                       1.548354e+05     1.800003e+05     1.000000e+03     2.499886e+00     2.130380e-07     4.486604e-10    -7.713192e-13     3.255035e-16     4.380244e+00     2.499892e+00     1.561348e-07    -3.880543e-11     5.097603e-15    -2.632612e-19     4.380298e+00
    2. N2                       1.915921e+05     2.281728e+05     1.000000e+03     3.536035e+00    -1.582709e-04    -2.134921e-07     7.918086e-10    -3.492705e-13     2.946037e+00     2.938030e+00     1.418380e-03    -2.516405e-07     2.691852e-11    -1.190161e-15     5.955220e+00
    3. H2                       1.306653e+05     1.662346e+05     1.000000e+03     2.376942e+00     7.739169e-03    -9.436754e-06     6.517237e-09    -1.792739e-12     5.471847e-01     2.902076e+00     8.689926e-04    -8.293222e-08     6.361730e-12    -2.327804e-16    -8.455913e-01
    4. H                        1.147064e+05     1.398716e+05     1.000000e+03     2.499759e+00     6.738245e-07     5.590363e-10    -1.233974e-12     5.355846e-16    -4.455740e-01     2.499852e+00     2.345825e-07    -5.808582e-11     7.523610e-15    -3.824800e-19    -4.458646e-01
    5. O2                       2.051340e+05     2.435837e+05     1.000000e+03     3.784983e+00    -3.020022e-03     4.960146e-06    -3.259468e-09     8.221943e-13     3.647807e+00     3.659805e+00     6.598774e-04    -7.207909e-08     7.155201e-12    -3.412595e-16     3.420741e+00
    6. O                        1.610488e+05     1.867873e+05     1.000000e+03     3.159065e+00    -3.215100e-03     3.246278e-06    -1.995850e-09     5.171903e-13     2.090783e+00     2.551601e+00    -3.830855e-05     4.215987e-10     1.337557e-12    -1.043691e-16     4.876170e+00
    7. H2O                      1.888149e+05     2.327362e+05     1.000000e+03     4.201476e+00    -2.055835e-03     3.282736e-06    -1.843023e-09     4.457065e-13    -8.606109e-01     2.731175e+00     2.951370e-03    -4.176799e-07     4.202953e-11    -2.101329e-15     6.551830e+00
